   r,   rd, expe_skew_gap, pred_skew_gap, expe_index_gap, pred_index_gap
  5,   5,0.00000, 0.00000, 0.00000, -0.02756
  6,   6,0.00000, 0.00000, 0.00000, -0.01263
  7,   7,0.00000, 0.00000, 0.00000, -0.00598
  8,   8,0.00000, 0.00000, 0.00000, -0.00289
  9,   9,0.00000, 0.00000, 0.00000, -0.00141
 10,  10,0.00000, 0.00000, 0.00000, -0.00070
 11,  11,0.00000, 0.00000, 0.00000, -0.00034
 12,  12,0.00000, 0.00000, 0.00000, -0.00017
 13,  13,0.00000, 0.00000, 0.00000, -0.00009
 14,  14,0.00000, 0.00000, 0.00000, -0.00004
 15,  15,0.00000, 0.00000, 0.00000, -0.00002
 16,  16,0.00000, 0.00000, 0.00000, -0.00001
 17,  17,0.00000, 0.00000, 0.00000, -0.00001
 18,  18,0.00000, 0.00000, 0.00000, -0.00000
 19,  19,0.00000, 0.00000, 0.00000, -0.00000
 20,  20,0.00000, 0.00000, 0.00000, -0.00000
 21,  21,0.00000, 0.00000, 0.00000, -0.00000
 22,  22,0.00000, 0.00000, 0.00000, -0.00000
 23,  23,0.00000, 0.00000, 0.00000, -0.00000
 24,  24,0.00000, 0.00000, 0.00000, -0.00000
 25,  25,0.00000, 0.00000, 0.00000, -0.00000
 26,  26,0.00000, 0.00000, 0.00000, -0.00000
 27,  27,0.00000, 0.00000, 0.00000, -0.00000
 28,  28,0.00000, 0.00000, 0.00000, -0.00000
 29,  29,0.00000, 0.00000, 0.00000, -0.00000
 30,  30,0.00000, 0.00000, 0.00000, -0.00000
 31,  31,0.00000, 0.00000, 0.00000, -0.00000
 32,  32,0.00000, 0.00000, 0.00000, -0.00000
 33,  33,0.00000, 0.00000, 0.00000, -0.00000
 34,  34,0.00000, 0.00000, 0.00000, -0.00000
 35,  35,0.00000, 0.00000, 0.00000, -0.00000
 36,  36,0.00000, 0.00000, 0.00000, -0.00000
 37,  37,0.00000, 0.00000, 0.00000, -0.00000
 38,  38,0.00000, 0.00000, 0.00000, -0.00000
 39,  39,0.00000, 0.00000, 0.00000, -0.00000
 40,  40,0.00000, 0.00000, 0.00000, -0.00000
 41,  41,0.00000, 0.00000, 0.00000, -0.00000
 42,  42,0.00000, 0.00000, 0.00000, -0.00000
 43,  43,0.00000, 0.00000, 0.00000, -0.00000
 44,  44,0.00000, 0.00000, 0.00000, -0.00000
 45,  45,0.00000, 0.00000, 0.00000, -0.00000
 46,  46,0.00000, 0.00000, 0.00000, -0.00000
 47,  47,0.00000, 0.00000, 0.00000, -0.00000
 48,  48,0.00000, 0.00000, 0.00000, -0.00000
 49,  49,0.00000, 0.00000, 0.00000, -0.00000
 50,  50,0.00000, 0.00000, 0.00000, -0.00000
 51,  51,0.00000, 0.00000, 0.00000, -0.00000
 52,  52,0.00000, 0.00000, 0.00000, -0.00000
 53,  53,0.00000, 0.00000, 0.00000, -0.00000
 54,  54,0.00000, 0.00000, 0.00000, -0.00000
 55,  55,0.00000, 0.00000, 0.00000, -0.00000
 56,  56,0.00000, 0.00000, 0.00000, -0.00000
 57,  57,0.00000, 0.00000, 0.00000, -0.00000
 58,  58,0.00000, 0.00000, 0.00000, -0.00000
 59,  59,0.00000, 0.00000, 0.00000, -0.00000
 60,  60,0.00000, 0.00000, 0.00000, -0.00000
 61,  61,0.00000, 0.00000, 0.00000, -0.00000
 62,  62,0.00000, 0.00000, 0.00000, -0.00000
 63,  63,0.00000, 0.00000, 0.00000, -0.00000
 64,  64,0.00000, 0.00000, 0.00000, -0.00000
 65,  65,0.00000, 0.00000, 0.00000, -0.00000
 66,  66,0.00000, 0.00000, 0.00000, -0.00000
 67,  67,0.00000, 0.00000, 0.00000, -0.00000
 68,  68,0.00000, 0.00000, 0.00000, -0.00000
 69,  69,0.00000, 0.00000, 0.00000, -0.00000
 70,  70,0.00000, 0.00000, 0.00000, -0.00000
 71,  71,0.00000, 0.00000, 0.00000, -0.00000
 72,  72,0.00000, 0.00000, 0.00000, -0.00000
